"","Stock Name","Jurisdiction","FMP","Science Center","Regional Ecosystem","FSSI Stock?","ITIS Taxon Serial Number","Scientific Name","Common Name","Stock Area","Assessment Year","Assessment Month","Last Data Year","Update Type","Review Result","Assessment Model","Model Version","Lead Lab","Citation","Final Assessment Report 1","Final Assessment Report 2","Point of Contact","Life History Data","Abundance Data","Catch Data","Assessment Level","Assessment Frequency","Assessment Type","Model Category","Catch Input Data","Abundance Input Data","Biological Input Data","Ecosystem Linkage","Composition Input Data","F Year","Estimated F","F Unit","F Basis","Flimit","Flimit Basis","Fmsy","Fmsy Basis","F/Flimit","F/Fmsy","Ftarget","Ftarget Basis","F/Ftarget","B Year","Estimated B","B Unit","B Basis","Blimit","Blimit Basis","Bmsy","Bmsy Basis","B/Blimit","B/Bmsy","MSY","MSY Unit"
"219","Sea scallop - Northwestern Atlantic Coast","NEFMC","Atlantic Sea Scallop","NEFSC","Northeast Shelf","Y",79718,"Placopecten magellanicus","Sea scallop","Northwestern Atlantic Coast",2010,7,2009,"Benchmark","Full acceptance","CASA",NA,"NEFSC","NEFSC CRD 10-09 (2010)","50th Northeast Regional Stock Assessment Workshop (50th SAW): Assessment Summary Report",NA,"James Weinberg",3,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2009,0.377999991178513,"Annual Exploitation Rate","apical F (max F at age)",0.379999995231628,"Fmsy",0.379999995231628,"Direct estimate",0.995000004768372,0.995000004768372,NA,NA,NA,2009,129700,"mt (meat weight only)","Meats >40mm height",62679,"0.5*Bmsy",125358,"Direct Estimate",2.06900000572205,1.0349999666214,24975,NA
"220","Sea scallop - Northwestern Atlantic Coast","NEFMC","Atlantic Sea Scallop","NEFSC","Northeast Shelf","Y",79718,"Placopecten magellanicus","Sea scallop","Northwestern Atlantic Coast",2014,8,2013,"Benchmark","Full acceptance","CASA",NA,"NEFSC","NEFSC CRD 14-07 (2014)  SAW/SARC59 Assessment Summary Report","59th Northeast Regional Stock Assessment Workshop (59th SAW) Assessment Summary Report",NA,"James Weinberg",3,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2013,0.319999992847443,"Rate","apical F (max F at age)",0.479999989271164,"Fmsy",0.479999989271164,"Direct estimate",0.666999995708466,0.666999995708466,NA,NA,NA,2013,132561,"mt (meat weight only)","Meats >40mm height",48240,"0.5*Bmsy",96480,"Direct Estimate",2.74799990653992,1.37399995326996,23798,"mt"
"221","Sea scallop - Northwestern Atlantic Coast","NEFMC","Atlantic Sea Scallop","NEFSC","Northeast Shelf","Y",79718,"Placopecten magellanicus","Sea scallop","Northwestern Atlantic Coast",2015,12,2015,"Partial Update","Full acceptance","CASA",NA,"NEFSC","Framework 27 to the Scallop FMP; Prepared by NEFSC staff on the NEFMC scallop PDT for the NEFMC.  March 14, 2016","Framework 27 to the Scallop FMP",NA,"James Weinberg",3,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2015,0.430000007152557,"Annual Exploitation Rate","apical F (max F at age)",0.479999989271164,"Fmsy",0.479999989271164,"Direct estimate",0.896000027656555,0.896000027656555,NA,NA,NA,2015,196728,"mt (meat weight only)","Spawning biomass",48240,"0.5*Bmsy",96480,"Direct Estimate",4.07800006866455,2.03900003433228,23798,NA
"222","Sea scallop - Northwestern Atlantic Coast","NEFMC","Atlantic Sea Scallop","NEFSC","Northeast Shelf","Y",79718,"Placopecten magellanicus","Sea scallop","Northwestern Atlantic Coast",2018,8,2017,"Benchmark","Full acceptance","CASA",NA,"NEFSC","65th Northeast Regional SAW Assessment Summary Report. NEFSC CRD#18-08 (2018)","65th Northeast Regional  Stock Assessment Workshop (65th SAW)  Assessment Report",NA,"Deborah Hart",3,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2017,0.119999997317791,"Annual Exploitation Rate","apical F (max F at age)",0.639999985694885,"Fmsy",0.639999985694885,"Direct estimate",0.187999993562698,0.187999993562698,NA,NA,NA,2017,317334,"mt (meat weight only)","Total stock biomass",58383,"0.5*Bmsy",116766,"Direct Estimate",5.43499994277954,2.71799993515015,46531,"mt meat weight"
"223","Red deepsea crab - Northwestern Atlantic","NEFMC","Deep-Sea Red Crab","NEFSC","Northeast Shelf","N",620992,"Chaceon quinquedens","Red deepsea crab","Northwestern Atlantic",2006,7,2005,"Benchmark","Partial acceptance - Fishing mortality estimates","Survey Index & Landings",NA,"NEFSC & Bigelow Lab","NEFSC CRD 06-14 (2006)","43rd SAW Assessment Summary Report",NA,"Weinberg",2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,2005,2013,"mt","Total Catch",NA,"total catch",2830,"total catch",NA,0.709999978542328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Acadian redfish - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",166774,"Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank",2005,12,2004,"Full Update","Full acceptance","Age-Structured Forward Projection Model",NA,NA,"GARM Report (2005)","Gulf of Maine/Georges Bank Acadian Redfish","Assessment of 19 Northeast groundfish stocks through 2004",NA,2,2,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,0.0020000000949949,"Exploitation","Ages_4-5",0.0399999991059303,"Fmsy",0.0399999991059303,"F50% msp",0.0500000007450581,0.0500000007450581,0.0130000002682209,"Frebuild",0.153999999165535,NA,175.589996337891,"Thousand Metric Tons","Spawning biomass",NA,"1/2 Bmsy proxy",NA,"Bmsy proxy",1.49000000953674,0.740000009536743,NA,NA
"225","Acadian redfish - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",166774,"Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank",2008,9,2007,"Benchmark","Full acceptance","SCAA","StatCAM 1.3.1","NEFSC","NEFSC CRD 08-15 (GARM III)","Assessment of  19 Northeast  Groundfish Stocks through 2007",NA,"James Weinberg",3,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,2007,0.00700000021606684,"Rate","Fully_Selected_F",NA,NA,0.0399999991059303,"50%_MSP",0.0399999991059303,0.174999997019768,0.0379999987781048,"Frebuild",0.186000004410744,2007,172342,"mt","Retrospective_Adjusted_SSB",135500,"1/2 Bmsy proxy",271000,"50%_MSP",1.27199995517731,0.635999977588654,10139,NA
"226","Acadian redfish - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",166774,"Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank",2012,3,2010,"Full Update","Full acceptance","SCAA","StatCAM 1.3.1","NEFSC","NEFSC CRD 12-06","Gulf of Maine-Georges Bank Acadian Redfish","Assessment or Data Updates of 13 Northeast Groundfish Stocks through 2010","James Weinberg",3,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,2010,0.00600000005215406,"Rate","apical F (max F at age)",0.0399999991059303,"F50%",0.0399999991059303,"F50% as proxy",0.150000005960464,0.150000005960464,NA,"Frebuild",NA,2010,314780,"mt","Spawning biomass",119000,"1/2 Bmsy proxy",238000,"SSB/R9F50",2.64499998092651,1.32299995422363,8891,NA
"227","Acadian redfish - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",166774,"Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank",2015,11,2014,"Full Update","Full acceptance","ASAP",NA,"NEFSC","Northeast Fisheries Science Center. 2015. Operational Assessment of 20 Northeast Groundfish Stocks, Updated Through 2014. US Dept Commer, Northeast Fish Sci Cent Ref Doc. 15-24; 251 p.","Operational Assessment of 20 Northeast Groundfish Stocks, Updated Through 2014",NA,"James Weinberg",3,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,2014,0.0149999996647239,"Apical F","apical F (max F at age)",0.0379999987781048,"F50%",0.0379999987781048,"F50% as proxy",0.395000010728836,0.389999985694885,NA,"Frebuild",NA,2014,330004,"mt","Spawning biomass",140556,"1/2 Bmsy proxy",281112,"SSB/R9F50",2.34800004959106,1.16999995708466,10466,NA
"228","Acadian redfish - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",166774,"Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank",2017,10,2016,"Full Update","Full acceptance","ASAP",NA,"NEFSC","Northeast Fisheries Science Center. 2017. Operational Assessment of 19 Northeast Groundfish Stocks, Updated Through 2016. US Dept Commer, Northeast Fish Sci Cent Ref Doc. 17-17.","Operational Assessment of 19 Northeast Groundfish Stocks, Updated Through 2016",NA,"Brian Linton",3,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,2016,0.0109999999403954,"Apical F","Max F Rate at Age",0.0399999991059303,"F50%",0.0399999991059303,"F50% as proxy",0.275000005960464,0.275000005960464,NA,NA,NA,2016,359970,"Metric Tons","Spawning Stock Biomass",123959,"1/2 Bmsy proxy",247918,"SSB at F50%",2.90400004386902,1.45200002193451,9318,"Metric Tons"
"229","American plaice - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",172877,"Hippoglossoides platessoides","American plaice","Gulf of Maine / Georges Bank",2005,12,2004,"Full Update","Full acceptance","VPA","ADAPT",NA,"GARM Report (2005)","Assessment of 19 Northeast groundfish stocks through 2004",NA,NA,4,2,5,4,2,NA,NA,NA,NA,NA,NA,NA,2004,0.150000005960464,"Rate","Fully_Recruited_F_Ages_5-8",NA,NA,NA,NA,0.920000016689301,NA,NA,"Fmsy",NA,2004,14149,"mt","SSB",NA,NA,NA,"SSBmsy",NA,0.5,NA,NA
"230","American plaice - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",172877,"Hippoglossoides platessoides","American plaice","Gulf of Maine / Georges Bank",2008,9,2007,"Benchmark","Full acceptance","VPA","2.8.0","NEFSC","NEFSC CRD 08-15 (GARM III)","Assessment of  19 Northeast  Groundfish Stocks through 2007",NA,"James Weinberg",4,2,5,4,2,NA,NA,NA,NA,NA,NA,NA,2007,0.0900000035762787,"Rate","Average_F_Ages_5-8",0.189999997615814,NA,0.189999997615814,NA,0.474000006914139,0.474000006914139,NA,NA,NA,2007,11106,"mt","Rho-Adjusted_SSB",10970,"0.5*Bmsy",21940,NA,1.01199996471405,0.505999982357025,4011,NA
"231","American plaice - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",172877,"Hippoglossoides platessoides","American plaice","Gulf of Maine / Georges Bank",2012,3,2010,"Full Update","Full acceptance","VPA","2.8.0","NEFSC","NEFSC CRD 12-06","Assessment or Data Updates of 13 Northeast Groundfish Stocks through 2010",NA,"James Weinberg",4,2,5,4,2,NA,NA,NA,NA,NA,NA,NA,2010,0.129999995231628,"Rate","Rho_Adjusted_Average_F_Age_6-9",0.180000007152557,"F40%",0.180000007152557,"F40% as proxy",0.722000002861023,0.722000002861023,NA,NA,NA,2010,10805,"mt","Rho_Adjusted_SSB",9199,"0.5*Bmsy",18398,"SSB/R(F40)",1.17499995231628,0.587000012397766,3385,"mt"
"232","American plaice - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",172877,"Hippoglossoides platessoides","American plaice","Gulf of Maine / Georges Bank",2015,11,2014,"Full Update","Full acceptance","VPA","2.8.0","NEFSC","Northeast Fisheries Science Center. 2015. Operational Assessment of 20 Northeast Groundfish Stocks, Updated Through 2014. US Dept Commer, Northeast Fish Sci Cent Ref Doc. 15-24; 251 p.","Operational Assessment of 20 Northeast Groundfish Stocks, Updated Through 2014",NA,"James Weinberg",4,2,5,4,2,NA,NA,NA,NA,NA,NA,NA,2014,0.11599999666214,"Instantaneous annual F averaged across ages","average F (F average across range of ages)",0.195999994874001,"F40%",0.195999994874001,"F40% as proxy",0.592000007629395,0.589999973773956,NA,NA,NA,2014,10977,"mt","Spawning biomass",6553,"0.5*Bmsy",13107,"SSB/R(F40)",1.67499995231628,0.839999973773956,2675,"mt"
"233","American plaice - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",172877,"Hippoglossoides platessoides","American plaice","Gulf of Maine / Georges Bank",2017,10,2016,"Full Update","Full acceptance","VPA","2.8.0","NEFSC","Northeast Fisheries Science Center. 2017. Operational Assessment of 19 Northeast Groundfish Stocks, Updated Through 2016. US Dept Commer, Northeast Fish Sci Cent Ref Doc. 17-17.","Operational Assessment of 19 Northeast Groundfish Stocks, Updated Through 2016",NA,"Mark Terceiro",4,2,5,4,2,NA,NA,NA,NA,NA,NA,NA,2016,0.111000001430511,"Average_F_Ages_6-9","average F (F average across range of ages)",0.219999998807907,"F40%",0.219999998807907,"F40% as proxy",0.504999995231628,0.504999995231628,NA,NA,NA,2016,13351,"mt","Spawning biomass",6751,"0.5*Bmsy",13503,"SSB/R(F40)",1.97800004482269,0.989000022411346,2924,"mt"
"234","American plaice - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",172877,"Hippoglossoides platessoides","American plaice","Gulf of Maine / Georges Bank",2019,10,2018,NA,"Full acceptance","ADAPT","2.8.0","NEFSC",NA,"Gulf of Maine-Georges Bank American plaice",NA,"Larry Alade",NA,NA,NA,NA,NA,"Operational",4,4,4,NA,0,4,2018,0.0890000015497208,"Fully Selected F","Retrospective Adjusted F Rate for Fully Selected Fish - Ages 6 - 9",0.257999986410141,"Fmsy",0.257999986410141,"F40% as proxy",0.344999998807907,0.344999998807907,NA,NA,NA,2018,17748,"Metric Tons","Retrospective Adjusted Spawning Stock Biomass",7647,"0.5*Bmsy",15293,"SSB40%",2.32100009918213,1.16100001335144,3301,"Metric Tons"
"235","Atlantic cod - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","N",164712,"Gadus morhua","Atlantic cod","Eastern Georges Bank",2013,7,2012,"Full Update","Full acceptance","VPA ""M 0.8 model""","M 0.8  model","NEFSC","TRAC Status Report 2013/01","EASTERN GEORGES BANK COD",NA,"Loretta O'Brien",2,2,4,4,3,NA,NA,NA,NA,NA,NA,NA,2012,0.0700000002980232,"Rate_Ages_4-9","average F (F average across range of ages)",0.109999999403954,NA,0.109999999403954,NA,0.635999977588654,0.635999977588654,NA,NA,NA,2012,11160,"mt","Biomass_Age_3+",NA,NA,NA,NA,NA,NA,NA,NA
"236","Atlantic cod - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","N",164712,"Gadus morhua","Atlantic cod","Eastern Georges Bank",2014,7,2013,"Full Update","Full acceptance","VPA ""M 0.8 model""","M 0.8  model","NEFSC","TRAC Status Report 2014/01","Assessment of Eastern Georges Bank Atlantic Cod for 2014","Stock Assessment and Fishery Evaluation (SAFE) Report for Fishing Year 2013 - Small-Mesh Multispecies","Loretta O'Brien",2,2,4,4,3,NA,NA,NA,NA,NA,NA,NA,2013,0.0399999991059303,"Rate_Ages_4-9","average F (F average across range of ages)",0.109999999403954,NA,0.109999999403954,NA,0.363999992609024,0.363999992609024,NA,NA,NA,2013,11179,"mt","Biomass_Age_3+",NA,NA,NA,NA,NA,NA,NA,NA
"237","Atlantic cod - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","N",164712,"Gadus morhua","Atlantic cod","Eastern Georges Bank",2015,7,2014,"Full Update","Full acceptance","VPA ""M 0.8 model""","M 0.8  model","NEFSC","TRAC Status Report 2015/01","EASTERN GEORGES BANK COD","Operational Assessment of 20 Northeast Groundfish Stocks, Updated Through 2014","Liz Brooks",2,2,4,4,3,NA,NA,NA,NA,NA,NA,NA,2014,0.0399999991059303,"Instantaneous annual F averaged across ages","average F (F average across range of ages)",0.109999999403954,NA,0.109999999403954,NA,0.363999992609024,0.363999992609024,NA,NA,NA,2014,10048,"mt","Spawning biomass",NA,NA,NA,NA,NA,NA,NA,NA
"238","Atlantic cod - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","N",164712,"Gadus morhua","Atlantic cod","Eastern Georges Bank",2016,7,2015,"Full Update","Full acceptance","VPA ""M 0.8 model""","M 0.8  model","NEFSC","TRAC Status Report 2016/01","EASTERN GEORGES BANK COD",NA,"Liz Brooks",2,2,4,4,3,NA,NA,NA,NA,NA,NA,NA,2015,0.0500000007450581,"Instantaneous annual F averaged across ages","average F (F average across range of ages)",0.109999999403954,NA,0.109999999403954,NA,0.455000013113022,0.455000013113022,NA,NA,NA,2015,11026,"mt","Spawning biomass",NA,NA,NA,NA,NA,NA,NA,NA
"239","Atlantic cod - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","N",164712,"Gadus morhua","Atlantic cod","Eastern Georges Bank",2017,7,2016,"Full Update","Full acceptance","VPA ""M 0.8 model""","M 0.8  model","NEFSC","TRAC Status Report 2017/01","Assessment of Eastern Georges Bank Atlantic Cod for 2017",NA,"Liz Brooks",2,2,4,4,3,NA,NA,NA,NA,NA,NA,NA,2015,0.0500000007450581,"Instantaneous annual F averaged across ages","Average_F_Age_4-9",0.109999999403954,NA,0.109999999403954,NA,0.455000013113022,0.455000013113022,NA,NA,NA,2015,13944,"mt","Age_3+_Biomass",NA,NA,NA,NA,NA,NA,NA,NA
"240","Atlantic cod - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","N",164712,"Gadus morhua","Atlantic cod","Eastern Georges Bank",2018,7,2017,"Full Update","Full acceptance","VPA ""M 0.8 model""","M 0.8  model","NEFSC",NA,NA,NA,"Liz Brooks",2,2,4,4,3,NA,NA,NA,NA,NA,NA,NA,2017,0.0529999993741512,"Instantaneous annual F averaged across ages","Average_F_Ages_4-9_Retrospective_Adjustment",NA,NA,NA,NA,NA,NA,0.109999999403954,NA,0.48199999332428,2018,6402,"mt","Age_3+_Biomass_Retrospective_Adjusted",NA,NA,NA,NA,NA,NA,NA,NA
"241","Atlantic cod - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","N",164712,"Gadus morhua","Atlantic cod","Eastern Georges Bank",2019,7,2018,NA,"Full acceptance","Survey Abundance","N/A","NEFSC / DFO Canada",NA,"Data Update for Eastern Georges Bank Cod in 2019",NA,"C Legault",NA,NA,NA,NA,NA,"Stock Monitoring Update",2,4,4,NA,0,5,2018,48,"Metric Tons","USA Total Catch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Atlantic cod - Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",164712,"Gadus morhua","Atlantic cod","Georges Bank",2005,12,2004,"Full Update","Full acceptance","VPA",NA,NA,"GARM Report (2005)","Assessment of 19 Northeast groundfish stocks through 2004",NA,NA,4,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,2004,0.239999994635582,"Rate","Fully_Recruited_F_Ages_4-8",NA,NA,0.180000007152557,NA,NA,1.33299994468689,NA,"Fmsy",NA,NA,22564,"mt","Spawning biomass",NA,NA,217000,"SSBmsy",NA,0.104000002145767,NA,NA
"243","Atlantic cod - Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",164712,"Gadus morhua","Atlantic cod","Georges Bank",2008,9,2007,"Benchmark","Full acceptance","VPA","ADAPT 2.8.0 - Split Model","NEFSC","NEFSC CRD 08-15 (GARM III)","Assessment of  19 Northeast  Groundfish Stocks through 2007",NA,"James Weinberg",4,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,2007,0.300000011920929,"Rate","Fully_Recruited_F_Ages_5-8",0.25,NA,0.25,NA,1.20000004768372,1.20000004768372,NA,NA,NA,2007,17672,"mt","Spawning biomass",74042,"0.5*Bmsy",148084,"B40%",0.238999992609024,0.119000002741814,31159,NA
"244","Atlantic cod - Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",164712,"Gadus morhua","Atlantic cod","Georges Bank",2012,3,2010,"Full Update","Full acceptance","VPA","2.8.0","NEFSC","NEFSC CRD 12-06","Georges Bank Atlantic Cod","Assessment or Data Updates of 13 Northeast Groundfish Stocks through 2010","James Weinberg",4,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,2010,0.449999988079071,"Rate","average F (F average across range of ages)",0.230000004172325,"F40%",0.230000004172325,NA,1.95700001716614,1.95700001716614,NA,NA,NA,2010,11289,"mt","Spawning biomass",70212,"0.5*Bmsy",140424,"SSB/R",0.160999998450279,0.0799999982118607,28774,NA
"245","Atlantic cod - Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",164712,"Gadus morhua","Atlantic cod","Georges Bank",2013,1,2011,"Benchmark","Full acceptance","ASAP",NA,"NEFSC","NEFSC CRD 13-01 (SARC55)","Stock Assessment of Georges Bank Atlantic Cod for 2012","Assessment or Data Updates of 13 Northeast Groundfish Stocks through 2010","James Weinberg",4,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,2011,0.430000007152557,"Rate","Average_F_Ages_5-8_Retro_Adj",0.180000007152557,"F40%",0.180000007152557,"F40% as proxy",2.38899993896484,2.38899993896484,NA,NA,NA,2011,13216,"mt","SSB_Retro_Adjusted",93267,"0.5*Bmsy",186535,"B40%",0.142000004649162,0.0710000023245811,30622,NA
"246","Atlantic cod - Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",164712,"Gadus morhua","Atlantic cod","Georges Bank",2015,11,2014,"Full Update","Reject - Results too uncertain to be considered adequate","ASAP",NA,"NEFSC","Northeast Fisheries Science Center. 2015. Operational Assessment of 20 Northeast Groundfish Stocks, Updated Through 2014. US Dept Commer, Northeast Fish Sci Cent Ref Doc. 15-24; 251 p.","Operational Assessment of 20 Northeast Groundfish Stocks, Updated Through 2014",NA,"James Weinberg",4,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Atlantic cod - Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",164712,"Gadus morhua","Atlantic cod","Georges Bank",2017,10,2016,"Full Update","Full acceptance","Plan B Smooth",NA,"NEFSC","Northeast Fisheries Science Center. 2017. Operational Assessment of 19 Northeast Groundfish Stocks, Updated Through 2016. US Dept Commer, Northeast Fish Sci Cent Ref Doc. 17-17.","Operational Assessment of 19 Northeast Groundfish Stocks, Updated Through 2016",NA,"Chris Legault",0,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,2016,0.17399999499321,"Relative_Expolitation","catch/smoothed_survey_biomass",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,4.69600009918213,"kg/tow","smoothed_survey_biomass",NA,NA,NA,NA,NA,NA,NA,NA
"248","Atlantic cod - Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",164712,"Gadus morhua","Atlantic cod","Georges Bank",2019,10,2019,NA,"Full acceptance","Plan B Smooth","N/A","NEFSC",NA,NA,NA,"Chris Legault",NA,NA,NA,NA,NA,"Operational",2,4,4,NA,0,4,2018,0.119000002741814,"Exploitation Rate","Catch / Survey Biomass",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,0.374000012874603,"kg / tow","Survey CPUE",NA,NA,NA,NA,NA,NA,NA,NA
"249","Atlantic cod - Gulf of Maine","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",164712,"Gadus morhua","Atlantic cod","Gulf of Maine",2005,12,2004,"Full Update","Full acceptance","VPA","ADAPT",NA,"GARM Report (2005)","Assessment of 19 Northeast groundfish stocks through 2004",NA,NA,4,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,2004,0.629999995231628,"Rate","Fully_Recruited_F_Ages_4+",NA,NA,0.224999994039536,NA,NA,2.79999995231628,NA,NA,NA,NA,18800,"mt","Spawning biomass",NA,NA,82830,NA,NA,0.226999998092651,NA,NA
"250","Atlantic cod - Gulf of Maine","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",164712,"Gadus morhua","Atlantic cod","Gulf of Maine",2008,9,2007,"Benchmark","Full acceptance","VPA","2.8.0","NEFSC","NEFSC CRD 08-15 (GARM III)","Assessment of  19 Northeast  Groundfish Stocks through 2007",NA,"James Weinberg",4,2,5,4,2,NA,NA,NA,NA,NA,NA,NA,2007,0.456000000238419,"Rate","Fully_Recruited_F_Ages_5-7",0.239999994635582,"F40%_MSP",0.239999994635582,"F40% as proxy",1.89999997615814,1.89999997615814,NA,NA,NA,2007,33878,"mt","Spawning biomass",29124,"0.5*Bmsy",58248,"Direct Estimate",1.16299998760223,0.582000017166138,10014,NA
"251","Atlantic cod - Gulf of Maine","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",164712,"Gadus morhua","Atlantic cod","Gulf of Maine",2012,1,2010,"Benchmark","Full acceptance","ASAP",NA,"NEFSC","NEFSC CRD 12-03 (SAW/SARC53)","Assessment or Data Updates of 13 Northeast Groundfish Stocks through 2010",NA,"James Weinberg",4,2,5,4,2,NA,NA,NA,NA,NA,NA,NA,2010,1.13999998569489,"Rate","Full F",0.200000002980232,"F40%",0.200000002980232,NA,5.69999980926514,5.69999980926514,NA,NA,NA,2010,11868,"mt","Spawning biomass",30609,"0.5*Bmsy",61218,"B40%",0.388000011444092,0.194000005722046,10392,NA
"252","Atlantic cod - Gulf of Maine","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",164712,"Gadus morhua","Atlantic cod","Gulf of Maine",2013,1,2011,"Benchmark","Full acceptance","ASAP","SEE COMMENTS","NEFSC","NEFSC CRD 13.01 (SAW/SARC55)","Assessment or Data Updates of 13 Northeast Groundfish Stocks through 2010",NA,"James Weinberg",4,2,5,4,2,NA,NA,NA,NA,NA,NA,NA,2011,NA,"Inst.  annual F","Full F",NA,"F40%",NA,NA,NA,NA,NA,NA,NA,2011,NA,"mt",NA,NA,"0.5*Bmsy",NA,"B40%",NA,NA,NA,NA
"253","Atlantic cod - Gulf of Maine","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",164712,"Gadus morhua","Atlantic cod","Gulf of Maine",2014,11,2013,"Full Update","Full acceptance","ASAP",NA,"NEFSC","NEFSC CRD 14.14 (Assessment Update Report of the Gulf of Maine Atlantic Cod Stock. by M. Palmer)","Stock Assessment and Fishery Evaluation (SAFE) Report for Fishing Year 2013 - Small-Mesh Multispecies",NA,"James Weinberg",4,2,5,4,2,NA,NA,NA,NA,NA,NA,NA,2013,NA,"Inst.  annual F","Full F",NA,"F40%",NA,NA,NA,NA,NA,NA,NA,2013,NA,"mt",NA,NA,"0.5*Bmsy",NA,"B40%",NA,NA,NA,NA
"254","Atlantic cod - Gulf of Maine","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",164712,"Gadus morhua","Atlantic cod","Gulf of Maine",2015,11,2014,"Full Update","Full acceptance","ASAP",NA,"NEFSC","Northeast Fisheries Science Center. 2015. Operational Assessment of 20 Northeast Groundfish Stocks, Updated Through 2014. US Dept Commer, Northeast Fish Sci Cent Ref Doc. 15-24; 251 p.","Operational Assessment of 20 Northeast Groundfish Stocks, Updated Through 2014",NA,"James Weinberg",4,2,5,4,2,NA,NA,NA,NA,NA,NA,NA,2014,NA,"Inst.  annual F","Full F",NA,"F40%",NA,NA,NA,NA,NA,NA,NA,2014,NA,"mt",NA,NA,"0.5*Bmsy",NA,"B40%",NA,NA,NA,NA
